DATE,DEXJPUS
2015-03-12,121.2800
2015-03-13,121.1700
2015-03-16,121.3000
2015-03-17,121.2800
2015-03-18,120.9200
2015-03-19,120.9000
2015-03-20,120.2800
2015-03-23,119.7400
2015-03-24,119.9000
2015-03-25,119.3700
2015-03-26,119.0100
2015-03-27,119.1500
2015-03-30,120.1100
2015-03-31,119.9600
2015-04-01,119.6200
2015-04-02,119.7400
2015-04-03,118.9600
2015-04-06,119.0500
2015-04-07,120.3600
2015-04-08,119.9600
2015-04-09,120.3200
2015-04-10,120.2900
2015-04-13,120.3200
2015-04-14,119.2600
2015-04-15,119.2300
2015-04-16,119.1800
2015-04-17,119.0200
2015-04-20,119.2700
2015-04-21,119.4500
2015-04-22,119.9000
2015-04-23,119.6900
2015-04-24,118.9800
2015-04-27,119.1200
2015-04-28,118.8000
2015-04-29,118.8300
2015-04-30,119.8600
2015-05-01,120.2100
2015-05-04,120.2500
2015-05-05,119.8700
2015-05-06,119.4200
2015-05-07,119.7400
2015-05-08,119.7800
2015-05-11,120.0500
2015-05-12,119.8000
2015-05-13,119.0900
2015-05-14,119.2000
2015-05-15,119.3600
2015-05-18,119.8200
2015-05-19,120.5800
2015-05-20,121.2800
2015-05-21,121.0600
2015-05-22,121.4500
2015-05-25,.
2015-05-26,123.0800
2015-05-27,123.7600
2015-05-28,124.1800
2015-05-29,123.9800
2015-06-01,124.6400
2015-06-02,124.1900
2015-06-03,124.0600
2015-06-04,124.5600
2015-06-05,125.5800
2015-06-08,125.0800
2015-06-09,124.1600
2015-06-10,122.7200
2015-06-11,123.6200
2015-06-12,123.2300
2015-06-15,123.3800
2015-06-16,123.3900
2015-06-17,124.2500
2015-06-18,122.8700
2015-06-19,122.7000
2015-06-22,123.2800
2015-06-23,123.7100
2015-06-24,124.2400
2015-06-25,123.6300
2015-06-26,123.9200
2015-06-29,122.5000
2015-06-30,122.1000
2015-07-01,123.0200
2015-07-02,123.1400
2015-07-03,.
2015-07-06,122.5300
2015-07-07,122.1600
2015-07-08,120.5400
2015-07-09,121.2200
2015-07-10,122.7500
2015-07-13,123.3500
2015-07-14,123.3900
2015-07-15,123.8900
2015-07-16,124.0400
2015-07-17,124.0000
2015-07-20,124.2400
2015-07-21,123.9300
2015-07-22,124.0800
2015-07-23,123.8800
2015-07-24,123.7400
2015-07-27,123.2400
2015-07-28,123.5200
2015-07-29,123.8600
2015-07-30,124.3800
2015-07-31,123.9400
2015-08-03,123.9800
2015-08-04,124.0000
2015-08-05,124.8400
2015-08-06,124.6000
2015-08-07,124.2700
2015-08-10,124.5500
2015-08-11,124.9000
2015-08-12,123.8700
2015-08-13,124.3200
2015-08-14,124.2700
2015-08-17,124.3300
2015-08-18,124.3900
2015-08-19,124.1000
2015-08-20,123.5400
2015-08-21,122.1100
2015-08-24,118.5600
2015-08-25,119.9100
2015-08-26,119.0700
2015-08-27,120.8900
2015-08-28,121.3200
2015-08-31,121.2600
2015-09-01,119.9400
2015-09-02,120.0000
2015-09-03,120.2000
2015-09-04,119.0500
2015-09-07,.
2015-09-08,119.7200
2015-09-09,120.9400
2015-09-10,120.7100
2015-09-11,120.6600
2015-09-14,119.9200
2015-09-15,120.3000
2015-09-16,120.6200
2015-09-17,120.9000
2015-09-18,119.8500
2015-09-21,120.4600
2015-09-22,120.0400
2015-09-23,120.1200
2015-09-24,119.5400
2015-09-25,120.7400
2015-09-28,119.8200
2015-09-29,119.7600
2015-09-30,119.8100
2015-10-01,119.5800
2015-10-02,119.4200
2015-10-05,120.3600
2015-10-06,120.1800
2015-10-07,119.9000
2015-10-08,119.9400
2015-10-09,120.3000
2015-10-12,.
2015-10-13,119.8000
2015-10-14,119.2100
2015-10-15,118.2600
2015-10-16,119.6000
2015-10-19,119.5000
2015-10-20,119.7900
2015-10-21,119.9100
2015-10-22,120.5000
2015-10-23,121.2000
2015-10-26,120.8700
2015-10-27,120.2900
2015-10-28,120.5600
2015-10-29,121.1400
2015-10-30,120.7000
2015-11-02,120.7000
2015-11-03,121.2000
2015-11-04,121.5200
2015-11-05,121.7100
2015-11-06,123.2000
2015-11-09,123.0400
2015-11-10,123.2200
2015-11-11,.
2015-11-12,122.8400
2015-11-13,122.9300
2015-11-16,123.1100
2015-11-17,123.4800
2015-11-18,123.5100
2015-11-19,122.7100
2015-11-20,122.8000
2015-11-23,123.0200
2015-11-24,122.4700
2015-11-25,122.7000
2015-11-26,.
2015-11-27,122.8400
2015-11-30,123.2200
2015-12-01,122.8800
2015-12-02,123.5200
2015-12-03,123.0600
2015-12-04,123.1000
2015-12-07,123.3100
2015-12-08,123.0000
2015-12-09,121.8600
2015-12-10,121.4400
2015-12-11,120.9400
2015-12-14,120.5700
2015-12-15,121.6600
2015-12-16,121.8800
2015-12-17,122.7500
2015-12-18,121.2000
2015-12-21,120.9900
2015-12-22,120.9400
2015-12-23,120.9400
2015-12-24,120.3200
2015-12-25,.
2015-12-28,120.3000
2015-12-29,120.4400
2015-12-30,120.6000
2015-12-31,120.2700
2016-01-01,.
2016-01-04,119.3000
2016-01-05,118.9500
2016-01-06,118.5400
2016-01-07,118.0000
2016-01-08,117.7400
2016-01-11,117.4800
2016-01-12,117.7800
2016-01-13,118.0600
2016-01-14,118.0300
2016-01-15,116.7800
2016-01-18,.
2016-01-19,117.6600
2016-01-20,116.3800
2016-01-21,117.6100
2016-01-22,118.3700
2016-01-25,118.5500
2016-01-26,118.5000
2016-01-27,118.9000
2016-01-28,118.6100
2016-01-29,121.0500
2016-02-01,121.0600
2016-02-02,120.2700
2016-02-03,117.9200
2016-02-04,116.7500
2016-02-05,116.9900
2016-02-08,115.7000
2016-02-09,114.8000
2016-02-10,114.0300
2016-02-11,111.7200
2016-02-12,112.9600
2016-02-15,.
2016-02-16,113.9000
2016-02-17,114.1400
2016-02-18,113.6200
2016-02-19,112.4200
2016-02-22,113.1200
2016-02-23,112.1700
2016-02-24,111.3600
2016-02-25,112.7000
2016-02-26,113.7800
2016-02-29,112.9000
2016-03-01,113.9400
2016-03-02,113.8100
2016-03-03,113.5300
2016-03-04,113.9100
2016-03-07,113.6000
2016-03-08,112.5800
2016-03-09,113.0600
2016-03-10,113.1000
2016-03-11,113.6600
2016-03-14,113.5900
2016-03-15,112.8800
2016-03-16,113.6900
2016-03-17,111.3000
2016-03-18,111.3800
2016-03-21,111.6200
2016-03-22,111.8200
2016-03-23,112.6300
2016-03-24,112.6400
2016-03-25,113.0500
2016-03-28,113.2900
2016-03-29,113.3300
2016-03-30,112.6000
2016-03-31,112.4200
2016-04-01,112.0600
2016-04-04,111.1800
2016-04-05,110.2600
2016-04-06,109.6300
2016-04-07,107.9800
2016-04-08,108.3600
2016-04-11,107.9600
2016-04-12,108.5400
2016-04-13,109.2100
2016-04-14,109.2000
2016-04-15,108.7600
2016-04-18,108.8500
2016-04-19,109.1600
2016-04-20,109.5100
2016-04-21,109.4100
2016-04-22,111.5000
2016-04-25,111.0800
2016-04-26,111.2300
2016-04-27,111.2600
2016-04-28,108.5500
2016-04-29,106.9000
2016-05-02,106.4800
2016-05-03,106.3400
2016-05-04,107.1200
2016-05-05,107.3200
2016-05-06,106.6600
2016-05-09,108.3900
2016-05-10,109.2200
2016-05-11,108.4800
2016-05-12,108.7300
2016-05-13,109.1400
2016-05-16,108.8900
